School Year,Building Code,DBN,Location Code,Location Name,Major Crime,Other Crime,Non Criminal,Property Crime,Violent Crime,NTA
2013-14,K275,0,0,985 ROCKAWAY AVENUE CONSOLIDATED LOCATION,1.0,4.0,2.0,2.0,2.0,Brownsville
2013-14,K278,22K278,K278,J.H.S. 278 Marine Park,0.0,3.0,7.0,1.0,0.0,park-cemetery-etc-Brooklyn
2013-14,K281,21K281,K281,I.S. 281 Joseph B Cavallaro,1.0,3.0,5.0,1.0,0.0,Bensonhurst East
2013-14,K284,23K284,K284,P.S. 284 Lew Wallace,0.0,2.0,2.0,1.0,1.0,Brownsville
2013-14,K285,18K285,K285,I.S. 285 Meyer Levin,0.0,5.0,4.0,1.0,1.0,Rugby-Remsen Village
2013-14,K286,75K811,K811,P.S. K811 Connie Lekas School,1.0,1.0,1.0,2.0,0.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2013-14,K288,21K288,K288,P.S. 288 The Shirley Tanyhill,0.0,0.0,2.0,0.0,0.0,Seagate-Coney Island
2013-14,K289,17K289,K289,P.S. 289 George V. Brower,0.0,0.0,2.0,0.0,0.0,Crown Heights North
2013-14,K290,19K290,K290,P.S. 290 Juan Morel Campos,0.0,0.0,1.0,0.0,0.0,East New York
2013-14,K291,0,0,231 PALMETTO STREET CONSOLIDATED LOCATION,1.0,0.0,12.0,1.0,0.0,Bushwick North
2013-14,K292,0,0,301 VERMONT STREET|300 WYONA STREET|CONSOLIDATED LOCATION,3.0,4.0,12.0,3.0,4.0,
2013-14,K293,0,0,284 BALTIC STREET CONSOLIDATED LOCATION,1.0,9.0,7.0,7.0,1.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2013-14,K296,0,0,125 COVERT STREET CONSOLIDATED LOCATION,1.0,5.0,4.0,4.0,2.0,Bushwick South
2013-14,K298,0,0,85 WATKINS STREET CONSOLIDATED LOCATION,0.0,4.0,3.0,1.0,3.0,Brownsville
2013-14,K299,32K299,K299,P.S. 299 Thomas Warren Field,0.0,1.0,1.0,0.0,1.0,Bushwick South
2013-14,K306,19K306,K306,P.S. 306 Ethan Allen,1.0,1.0,6.0,1.0,1.0,East New York
2013-14,K302,0,0,350 LINWOOD STREET CONSOLIDATED LOCATION,1.0,6.0,19.0,5.0,2.0,East New York
2013-14,K303,0,0,521 WEST AVENUE CONSOLIDATED LOCATION,1.0,6.0,3.0,6.0,0.0,West Brighton
2013-14,K304,0,0,280 HART STREET CONSOLIDATED LOCATION,1.0,0.0,0.0,1.0,0.0,Stuyvesant Heights
2013-14,K305,0,0,344 MONROE STREET CONSOLIDATED LOCATION,1.0,4.0,1.0,3.0,1.0,Bedford
2013-14,K307,0,0,209 YORK STREET CONSOLIDATED LOCATION,0.0,2.0,0.0,1.0,0.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2013-14,K308,0,0,616 QUINCY STREET CONSOLIDATED LOCATION,0.0,2.0,0.0,1.0,0.0,Stuyvesant Heights
2013-14,K309,0,0,794 MONROE STREET CONSOLIDATED LOCATION,1.0,1.0,0.0,1.0,1.0,Stuyvesant Heights
2013-14,K313,0,0,283 ADAMS STREET CONSOLIDATED LOCATION,2.0,1.0,5.0,1.0,2.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2013-14,K314,0,0,330 59 STREET CONSOLIDATED LOCATION,0.0,3.0,0.0,3.0,0.0,Sunset Park West
2013-14,K316,0,0,750 CLASSON AVENUE CONSOLIDATED LOCATION,0.0,1.0,3.0,0.0,1.0,Prospect Heights
2013-14,K318,14K318,K318,I.S. 318 Eugenio Maria De Hostos,0.0,1.0,1.0,1.0,0.0,Williamsburg
2013-14,K320,0,0,46 MCKEEVER PLACE CONSOLIDATED LOCATION,6.0,2.0,10.0,4.0,4.0,Crown Heights South
