DBN,Grad_rate,Coll_rate,NTA,School Year
08X519,0.42,0.24,Soundview-Castle Hill-Clason Point-Harding Park,2013-14
27Q480,0.55,0.34,South Ozone Park,2013-14
27Q400,0.4,0.24,Springfield Gardens North,2013-14
29Q248,0.66,0.32,Springfield Gardens North,2013-14
29Q265,0.85,0.49,Springfield Gardens North,2013-14
29Q272,0.84,0.56,Springfield Gardens North,2013-14
29Q283,0.81,0.54,Springfield Gardens North,2013-14
10X368,0.9,0.58,Spuyten Duyvil-Kingsbridge,2013-14
16K393,0.65,0.43,Stuyvesant Heights,2013-14
16K498,0.79,0.33,Stuyvesant Heights,2013-14
31R047,0.9,0.88,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2013-14
31R080,0.91,0.79,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2013-14
31R460,0.84,0.7,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2013-14
02M630,0.81,0.62,Turtle Bay-East Midtown,2013-14
10X237,0.68,0.53,Van Cortlandt Village,2013-14
10X268,0.57,0.4,Van Cortlandt Village,2013-14
10X342,0.61,0.37,Van Cortlandt Village,2013-14
10X433,0.72,0.39,Van Cortlandt Village,2013-14
10X440,0.45,0.39,Van Cortlandt Village,2013-14
10X442,0.89,0.62,Van Cortlandt Village,2013-14
10X445,1.0,0.96,Van Cortlandt Village,2013-14
10X549,0.63,0.29,Van Cortlandt Village,2013-14
10X696,1.0,0.99,Van Cortlandt Village,2013-14
06M462,0.55,0.4,Washington Heights North,2013-14
06M463,0.61,0.33,Washington Heights North,2013-14
06M467,0.69,0.5,Washington Heights North,2013-14
06M468,0.59,0.35,Washington Heights North,2013-14
21K344,0.7,0.61,West Brighton,2013-14
21K410,0.69,0.52,West Brighton,2013-14
07X427,0.63,0.46,West Concourse,2013-14
07X670,0.56,0.47,West Concourse,2013-14
12X692,0.44,0.28,West Farms-Bronx River,2013-14
31R450,0.8,0.56,West New Brighton-New Brighton-St. George,2013-14
31R600,0.75,0.42,West New Brighton-New Brighton-St. George,2013-14
11X253,0.62,0.18,Williamsbridge-Olinville,2013-14
11X265,0.69,0.41,Williamsbridge-Olinville,2013-14
11X270,0.68,0.43,Williamsbridge-Olinville,2013-14
11X275,0.85,0.53,Williamsbridge-Olinville,2013-14
