DBN,graduation_rate_2011,college_career_rate_2011,graduation_rate_2012,college_career_rate_2012,graduation_rate_2013,college_career_rate_2013,graduation_rate_2014,college_career_rate_2014,Address,Borough Name,Community Board,Council District ,Census Tract,NTA,Precinct,Population
04M555,0.8059999999999999,0.379,0.8540000000000001,0.581,0.93,0.73,0.98,0.77,1573 MADISON AVENUE,MANHATTAN,11.0,8.0,"17,401",East Harlem South,23.0,73106.0
04M610,0.9840000000000001,0.982,1.0,0.828,1.0,0.91,1.0,0.97,105 EAST 106 STREET,MANHATTAN,11.0,8.0,172,East Harlem South,23.0,73106.0
04M680,0.623,0.473,0.627,0.28600000000000003,0.61,0.36,0.7,0.33,1680 LEXINGTON AVENUE,MANHATTAN,11.0,8.0,172,East Harlem South,23.0,73106.0
05M304,0.728,0.598,0.652,0.5870000000000001,0.69,0.45,0.66,0.47,6 EDGECOMBE AVENUE,MANHATTAN,10.0,9.0,"22,102",Central Harlem North-Polo Grounds,32.0,70942.0
05M369,0.7,0.397,0.75,0.5710000000000001,0.68,0.6,0.77,0.49,509 WEST 129 STREET,MANHATTAN,9.0,7.0,219,Manhattanville,26.0,49508.0
05M499,0.917,0.805,0.816,0.73,0.8,0.76,0.68,0.78,2581 7TH AVENUE,MANHATTAN,10.0,9.0,236,Central Harlem North-Polo Grounds,32.0,70942.0
05M670,0.789,0.5589999999999999,0.895,0.653,0.94,0.63,0.84,0.78,200-214 WEST 135TH STREET,MANHATTAN,10.0,9.0,228,Central Harlem North-Polo Grounds,32.0,70942.0
06M462,0.6759999999999999,0.515,0.585,0.429,0.64,0.42,0.55,0.4,549 AUDUBON AVENUE,MANHATTAN,12.0,10.0,277,Washington Heights North,34.0,112375.0
06M463,0.607,0.45299999999999996,0.642,0.373,0.62,0.45,0.61,0.33,549 AUDUBON AVENUE,MANHATTAN,12.0,10.0,277,Washington Heights North,34.0,112375.0
06M467,0.733,0.583,0.652,0.528,0.6,0.39,0.69,0.5,549 AUDUBON AVENUE,MANHATTAN,12.0,10.0,277,Washington Heights North,34.0,112375.0
06M468,0.609,0.40299999999999997,0.573,0.408,0.49,0.36,0.59,0.35,549 AUDUBON AVENUE,MANHATTAN,12.0,10.0,277,Washington Heights North,34.0,112375.0
06M540,0.826,0.545,0.747,0.634,0.73,0.65,0.76,0.49,443 WEST 135 STREET,MANHATTAN,9.0,9.0,"21,703",Manhattanville,26.0,49508.0
06M552,0.685,0.495,0.764,0.517,0.64,0.56,0.56,0.45,501 WEST 165TH,,,,,,33.0,77645.0
07X221,0.912,0.615,0.889,0.632,0.86,0.63,0.87,0.51,360 EAST 145 STREET,BRONX    ,1.0,8.0,43,Mott Haven-Port Morris,40.0,91497.0
07X334,0.59,0.302,0.473,0.41,0.31,0.28,0.4,0.19,345 BROOK AVENUE,BRONX    ,1.0,8.0,41,Mott Haven-Port Morris,40.0,91497.0
07X427,0.731,0.579,0.603,0.603,0.69,0.53,0.63,0.46,350 GERARD AVENUE,BRONX    ,1.0,8.0,63,West Concourse,40.0,91497.0
07X473,0.583,0.485,0.6459999999999999,0.39299999999999996,0.51,0.42,0.57,0.27,701 ST. ANNS AVENUE,BRONX    ,1.0,17.0,71,Melrose South-Mott Haven North,40.0,91497.0
07X495,0.899,0.603,0.889,0.706,0.85,0.69,0.94,0.65,701 ST. ANNS AVENUE,BRONX    ,1.0,17.0,71,Melrose South-Mott Haven North,40.0,91497.0
07X500,0.9079999999999999,0.82,0.7859999999999999,0.736,0.75,0.76,0.88,0.64,600 SAINT ANN'S AVENUE,BRONX    ,1.0,17.0,73,Melrose South-Mott Haven North,40.0,91497.0
07X520,0.573,0.544,0.5329999999999999,0.573,0.48,0.34,0.42,0.41,470 JACKSON AVENUE,BRONX    ,1.0,8.0,35,Mott Haven-Port Morris,40.0,91497.0
07X527,0.573,0.387,0.648,0.373,0.62,0.55,0.65,0.55,730 CONCOURSE VILLAGE WEST,BRONX    ,4.0,17.0,61,East Concourse-Concourse Village,44.0,146441.0
07X547,0.5,0.217,0.578,0.195,0.54,0.25,0.54,0.28,730 CONCOURSE VILLAGE WEST,BRONX    ,4.0,17.0,61,East Concourse-Concourse Village,44.0,146441.0
07X548,0.866,0.6629999999999999,0.7290000000000001,0.5489999999999999,0.68,0.48,0.74,0.45,730 CONCOURSE VILLAGE WEST,BRONX    ,4.0,17.0,61,East Concourse-Concourse Village,44.0,146441.0
07X551,0.831,0.605,0.778,0.6629999999999999,0.87,0.65,0.65,0.58,339 MORRIS AVENUE,BRONX    ,1.0,8.0,51,Mott Haven-Port Morris,40.0,91497.0
07X600,0.537,0.141,0.561,0.146,0.51,0.23,0.64,0.19,333 EAST 151 STREET,BRONX    ,1.0,17.0,67,Melrose South-Mott Haven North,40.0,91497.0
07X670,0.742,0.664,0.738,0.632,0.69,0.54,0.56,0.47,350 GERARD AVENUE,BRONX    ,1.0,8.0,63,West Concourse,40.0,91497.0
08X282,0.8640000000000001,0.6579999999999999,0.6759999999999999,0.742,0.66,0.43,0.72,0.51,456 WHITE PLAINS ROAD,BRONX    ,9.0,18.0,4,Soundview-Castle Hill-Clason Point-Harding Park,43.0,172122.0
08X293,0.7170000000000001,0.353,0.6559999999999999,0.39399999999999996,0.8,0.41,0.73,0.54,3000 EAST TREMONT AVENUE,BRONX    ,10.0,13.0,194,Schuylerville-Throgs Neck-Edgewater Park,45.0,120833.0
08X305,0.514,0.27399999999999997,0.611,0.376,0.61,0.27,0.7,0.3,1980 LAFAYETTE AVENUE,BRONX    ,9.0,18.0,16,Soundview-Castle Hill-Clason Point-Harding Park,43.0,172122.0
08X312,0.713,0.306,0.613,0.278,0.66,0.34,0.68,0.45,1980 LAFAYETTE AVENUE,BRONX    ,9.0,18.0,16,Soundview-Castle Hill-Clason Point-Harding Park,43.0,172122.0
08X332,0.59,0.28600000000000003,0.522,0.37,0.51,0.27,0.46,0.28,965 LONGWOOD AVENUE,BRONX    ,2.0,17.0,87,Longwood,41.0,52246.0
